result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
97	“big government” site:sddt.com/Commentary/article.cfm?Commentary_ID=140&	San Diego Source > Commentary > Columnists > Armey's flat tax ...	http://www.sddt.com/commentary/article.cfm?Commentary_ID=74&SourceCode=20020723tzb	He attacks opponents of the flat tax by calling them high tax/ big government advocates. A flat tax, if key deductions and income exemptions are included, ...  	10		
98	“big government” site:sddt.com/Commentary/article.cfm?Commentary_ID=140&	San Diego Source > Commentary > Columnists > '... (T)he least of ...	http://www.sddt.com/commentary/article.cfm?Commentary_ID=141&SourceCode=20080820tzc		10		
99	“big government” site:sddt.com/Commentary/article.cfm?Commentary_ID=140&	San Diego Source > Commentary > Columnists > Don't  be scared of ...	http://www.sddt.com/commentary/article.cfm?Commentary_ID=15&SourceCode=20080725tbi	25 Jul 2008 ... These two big Government Sponsored Entities (GSEs) that hold or insure about half of the nation's mortgages came under fire, and their stock ...  	10		
100	“big government” site:techcrunch.com/2009/12/28/google-caffeine-faster-search-index	n/a	n/a	n/a	n/a		
101	“big government” site:nytimes.com/2009/12/28/opinion/28raff.html	n/a	n/a	n/a	n/a		
102	“big government” site:biggovernment.com/2009/12/28/google-openness-for-thee-but-not-for-me	Â» Google: Openness for Thee, But Not For Me - Big Government	http://biggovernment.com/2009/12/28/google-openness-for-thee-but-not-for-me/	28 Dec 2009 ... reading: Capitol Confidential, Big Government : Google: Openness for Thee, But Not For Me and FCC Falling Afoul of Key Senators From the Pen: ...  	2		
103	“big government” site:biggovernment.com/2009/12/28/google-openness-for-thee-but-not-for-me	Big Government Â» Blog Archive Â» Google: Openness for Thee, But Not ...	http://biggovernment.com/2009/12/28/google-openness-for-thee-but-not-for-me/email/	28 Dec 2009 ...  Big Government · Home · Exclusives · Categories · Contributors · E-Mail 'Google: Openness for Thee, But Not For Me' To A  Friend ...  	2		
104	“big government” site:itbusinessedge.com/cm/blogs/vizard/anti-google-sentiment-rises/?cs=38376	n/a	n/a	n/a	n/a		
105	“big government” site:cato-at-liberty.org/2009/12/28/search-neutrality-regulation	n/a	n/a	n/a	n/a		
106	“big government” site:marketingpilgrim.com/2009/12/search-neutrality.html	n/a	n/a	n/a	n/a		
107	“big government” site:nexus404.com/Blog/2009/12/19/verizon-wireless-ready-for-the-iphone-report-suggests-verizon-is-preparing-for-the-iphone	n/a	n/a	n/a	n/a		
108	“big government” site:telecoms.com/17125/att-to-face-down-net-neutrality-with-per-megabyte-pricing	n/a	n/a	n/a	n/a		
109	“big government” site:theiphoneblog.com/2009/12/18/att-decision-implement-tiered-pricing	n/a	n/a	n/a	n/a		
110	“big government” site:seekingalpha.com/article/178992-memo-to-at-t-help-me-to-help-you	n/a	n/a	n/a	n/a		
111	“big government” site:redstate.com/moe_lane/2010/01/06/government-run-healthcare-just-beyond-your-fingertips	n/a	n/a	n/a	n/a		
112	“big government” site:broadbandbreakfast.com/2009/12/nyu-law-school-sponsored-group-pushes-net-neutrality-rules	n/a	n/a	n/a	n/a		
113	“big government” site:thehill.com/blogs/hillicon-valley/technology/74513-tech-tidbits-free-google-phones-poor-marks-for-obama	n/a	n/a	n/a	n/a		
114	“big government” site:betanews.com/article/Lessons-learned-by-IT-in-2009-1-Net-neutrality-is-a-myth/1262035795	n/a	n/a	n/a	n/a		
115	“big government” site:enterprisenetworkingplanet.com/news/article.php/3854491/CTIA-Looks-Ahead-to-Spectrum-Net-Neutrality-Fights.htm	n/a	n/a	n/a	n/a		
116	“big government” site:bbc.co.uk/worldservice/news/2010/01/100105_google_phone_mj.shtml	n/a	n/a	n/a	n/a		
117	“big government” site:mobile.venturebeat.com/2010/01/06/why-nexus-one-changes-next-to-nothing-but-android-changes-everything	n/a	n/a	n/a	n/a		
118	“new regulation” site:biggovernment.com/2010/01/06/the-left-continues-to-break-more-cracks-in-net-neutrality-front	n/a	n/a	n/a	n/a		
119	“new regulation” site:reclaimthemedia.org/broadband/cable/new_study_suggests_net_neutral0701	n/a	n/a	n/a	n/a		
120	“new regulation” site:straight.com/article-280224/vancouver/charlie-angus-calls-tony-clement-require-net-neutrality-checks	n/a	n/a	n/a	n/a		
121	“new regulation” site:liberal.ca/en/blog/17211_our-net-neutrality-qa	n/a	n/a	n/a	n/a		
122	“new regulation” site:reason.com/archives/2010/01/06/the-war-over-neutrality	n/a	n/a	n/a	n/a		
123	“new regulation” site:thehill.com/blogs/hillicon-valley/technology/74817-house-staffer-broadband-plan-should-have-taken-precedence-over-net-neutrality	n/a	n/a	n/a	n/a		
124	“new regulation” site:story.zimbabwestar.com/index.php/ct/9/cid/3a8a80d6f705f8cc/id/585364/cs/1	n/a	n/a	n/a	n/a		
125	“new regulation” site:mercurynews.com/opinion/ci_14127209	n/a	n/a	n/a	n/a		
126	“new regulation” site:metrocorpcounsel.com/current.php?artType=view&	Credit Default Swap Regulation Overview	http://www.metrocorpcounsel.com/current.php?artType=view&artMonth=November&artYear=2009&EntryNo=9117	Potential New Regulation . The most specific recent regulatory proposal with respect ... The ultimate objective for new regulation and trading infrastructure ...  	28		
127	“new regulation” site:metrocorpcounsel.com/current.php?artType=view&	International Roaming Regulation - The Challenges And Opport	http://www.metrocorpcounsel.com/current.php?artType=view&artMonth=December&artYear=2009&EntryNo=7149	The new Regulation represents a major expansion of regulation into an increasingly competitive and innovative market. The new rules could lead to a loss of ...  	28		
128	“new regulation” site:metrocorpcounsel.com/current.php?artType=view&	Modernisation: The New EC Competition Enforcement Regime	http://www.metrocorpcounsel.com/current.php?artType=view&artMonth=November&artYear=2009&EntryNo=886	The new Regulation will not alter the substantive content of Articles 81 and 82, but will radically change the way competition law is applied. ...  	28		
