result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
70	“new regulation” site:arstechnica.com/tech-policy/news/2009/12/big-cable-pro-net-neutrality-arguments-turn-first-amendment-on-its-head.ars	n/a	n/a	n/a	n/a		
71	“new regulation” site:circleid.com/topics/net_neutrality	n/a	n/a	n/a	n/a		
72	“new regulation” site:blogs.wsj.com/digits/2009/10/18/facebook-and-twitter-founders-join-net-neutrality-wars	n/a	n/a	n/a	n/a		
73	“new regulation” site:cnn.com/2009/TECH/10/24/net.neutrality.politics/index.html	n/a	n/a	n/a	n/a		
74	“new regulation” site:publicknowledge.org/issues/network-neutrality	n/a	n/a	n/a	n/a		
75	“new regulation” site:freepress.net/policy/internet/net_neutrality	n/a	n/a	n/a	n/a		
76	“new regulation” site:online.wsj.com/article/SB125329467451823485.html	n/a	n/a	n/a	n/a		
77	“new regulation” site:openinternetcoalition.com	n/a	n/a	n/a	n/a		
78	“new regulation” site:techcrunch.com/2008/08/31/the-net-neutrality-debate-all-on-one-page	n/a	n/a	n/a	n/a		
79	“new regulation” site:usatoday.com/tech/news/2009-12-09-netneutrality09_CV_N.htm	n/a	n/a	n/a	n/a		
80	“new regulation” site:handsoff.org	Hands off the  Internet Â» Chris Wolf on Broadband Policy and the ...	http://www.handsoff.org/blog/tiered-service/chris-wolf-on-broadband-policy-and-the-next-internet/	As much as we might disagree over the need for new regulation , we agree completely with those on the other side of the regulatory question that no legal ...  	16		
81	“new regulation” site:handsoff.org	Prepared Remarks of Christopher Wolf Co-Chair, Hands Off the ...	http://www.handsoff.org/hoti_docs/news/wolf_021407.pdf	File Format: PDF/Adobe Acrobat - Quick View  As much as we might disagree over the need for new regulation , ... The calls for new regulation also unfairly shift business costs to consumers by barring ...  	16		
82	“new regulation” site:handsoff.org	Hands off the  Internet Â» Deborah Platt Majoras	http://www.handsoff.org/blog/category/deborah-platt-majoras/	... policy makers should be particularly hesitant to enact new regulation in this area.â We don't think we could have said it any better ourselves. ...  	16		
83	“new regulation” site:handsoff.org	Hands off the  Internet Â» PFF Summit	http://www.handsoff.org/blog/category/pff-summit/	... Workers of America, have correctly noted, promoting deployment, not cumbersome new regulation , is the key to economic growth and job creation.â ...  	16		
84	“new regulation” site:handsoff.org	Hands off the  Internet Â» FTC	http://www.handsoff.org/blog/category/ftc/	As much as we might disagree over the need for new regulation , we agree completely with those on the other side of the regulatory question that no legal ...  	16		
85	“new regulation” site:handsoff.org	Hands off the  Internet Â» wireless	http://www.handsoff.org/blog/category/wireless/	Could this be the same Google that's lobbying for the Feds to start a massive new regulation of VPNs and the Internet? If that ever happens, ...  	16		
86	“new regulation” site:handsoff.org	Hands off the  Internet Â» News	http://www.handsoff.org/blog/category/news/	âThere is no current or anticipated content discrimination or service degradation justifying new regulation by the Commission,â said a filing by Hands Off ...  	16		
87	“new regulation” site:handsoff.org	Hands off the  Internet Â» Competition	http://www.handsoff.org/blog/category/competition/	... policy makers should be particularly hesitant to enact new regulation in this area.â We don't think we could have said it any better ourselves. ...  	16		
88	“new regulation” site:handsoff.org	Hands off the  Internet Â» Networking	http://www.handsoff.org/blog/category/networking/page/2/	As much as we might disagree over the need for new regulation , we agree completely with those on the other side of the regulatory question that no legal ...  	16		
89	“new regulation” site:handsoff.org	Hands off the  Internet Â» Congress	http://www.handsoff.org/blog/category/congress/page/2/	... policy makers should be particularly hesitant to enact new regulation in this area.â We don't think we could have said it any better ourselves. ...  	16		
